https://en.wikipedia.org/wiki/List_of_railway_stations_in_India
Ambur 	AB 	Tamil Nadu 			
Amethi 	AME 	Uttar Pradesh 	NR/Northern 		
Amgaon 	AGN 	Maharashtra 			
Amguri 	AGI 	Assam 	NFR/Northeast Frontier 	104m 	[13]
Amla Junction 	AMLA 	Madhya Pradesh 	CR/Central 		
Amlai 	AAL 	Madhya Pradesh 	SECR 		
Amlakhurd 	AMX 	Madhya Pradesh 			
Amli 	AMLI 	Dadra & Nagar Haveli 			
Ammasandra 	AMSA 	Karnataka 			
Amoni 	AONI 	Assam 	NFR/Northeast Frontier 	72 m 	[14]
Amravati 	AMI 	Maharashtra 	CR 		
Amreli 	AE 	Gujarat 			
Amritsar Junction 	ASR 	Punjab 	NR 		
Amritvel 	AVL 	Gujarat 			
Amroha 	AMRO 	Uttar Pradesh 			
Anakapalle 	AKiP 	Andhra Pradesh 	SCR 		
Anand Junction 	ANND 	Gujarat 			
Anand Nagar 	ANDN 	Andhra Pradesh 			
Anand Vihar 	ANVR 	Delhi 	NR 		
Anandpur Sahib 	ANSB 	Punjab 	NR 		
Anandtandavpur 	ANP 	Tamil Nadu 			
Anantapur 	ATP 	Andhra Pradesh 	SCR 		
Anaparti 	APT 	Andhra Pradesh 	SCR 		
Anara 	ANR 	West Bengal 	ER/Eastern Railway 		
Anas 	ANAS 	Madhya Pradesh 			
Andal Junction 	UDL 	West Bengal 	ER/Eastern Railway 		
Andheri 	ADH 	Maharashtra 	WR/Western/Harbour (CR) 		
Angamaly 	AFK 	Kerala 	SR 		
Angul 	ANGL 	Odisha 	ECoR/East Coastal Railway 		
Anipur 	APU 	Assam 	NFR/Northeast Frontier 	40 m 	[15]
Anjangaon 	ANJ 	Maharashtra 	CR/Central 	347 m 	[9]
Anjani 	ANO 	Maharastra 			
Anjar 	AJE 	Gujarat 			
Anjhi Shahabad 	AJI 	Uttar Pradesh 			
Ankai 	ANK 	Maharashtra 	SCR 		
Ankleshwar Junction 	AKV 	Gujarat 	WR 		
Ankola 	ANKL 	Karnataka 			
Annanur 	ANNR 	Tamil Nadu 	SR/Southern 	24.28 m 	
Annavaram 	ANV 	Andhra Pradesh 	SCR 		
Annigeri 	NGR 	Karnataka 			
Anpara 	ANPR 	Uttar Pradesh 			
Antah 	ATH 	Rajastan 			
Antu 	ANTU 	Uttar Pradesh 			
Anugraha Narayan Road 	AUBR 	Bihar 	ECR 		
Anupgarh 	APH 	Rajasthan 	WR/Western Railway 		
Anuppur Junction 	APR 	Madhya Pradesh 	SECR 		
Anupshahr 	AUS 	Uttar Pradesh 			
Aonla 	AO 	Uttar Pradesh 			
Ara 	ARA 	Bihar 	ECR/East Central Railway 		
Arakkonam Junction 	AJJ 	Tamil Nadu 	SR/Southern railway 	
Araku 	ARK 	Andhra Pradesh 	ECoR 		
Aralvaymozhi 	AAY 	Tamil Nadu 			
Arariya 	ARR 	Bihar 			
Arariya Court 	ARQ 	Bihar 			
Arasur 	ARS 	Tamil Nadu 			
Aravalli Road 	AVRD 	Karnataka 			
Arunachal 	ARCL 	Assam 	NFR/Northeast Frontier 	22 m 	[16]
Aravankadu 	AVK 	Tamil Nadu 			
Ariyalur 	ALU 	Tamil Nadu 			
Arjansar 	AS 	Rajasthan 			
Arnetha 	ARE 	Rajasthan 			
Arni Road 	ARV 	Tamil Nadu 			
Arsikere Junction 	ASK 	Karnataka 			
Aruppukottai 	APK 	Tamil Nadu 	Southern railway 	450 m 	
Arvi 	ARVI 	Maharashtra 	CR/Central 		
Aryankavu 	AYV 	Kerala 			
Asafpur 	AFR 	Uttar Pradesh 			
Asalpur Jobner 	JOB 	Rajasthan 			
Asangaon 	AN 	Maharashtra 	CR/Central 		
Asansol Junction 	ASN 	West Bengal 	ER/Eastern Railway 		
Asaoti 	AST 	Haryana 			
Ashok Nagar 	ASKN 	Madhya Pradesh 			
Aslana 	ANA 	Madhya Pradesh 			
Aslaoda 	ASL 	Madhya Pradesh 			
Asnoti 	AT 	Karnataka 			
Asokhar 	AXK 	Madhya Pradesh 			
Asranada 	AAS 	Rajasthan 			
Atari 	ATT 	Punjab 			
Atarra 	ATE 	Uttar Pradesh 			
Ateli 	AEL 	Haryana 			
Atgaon 	ATG 	Maharashtra 	CR/Central
